,time,open,high,low,close,volume
0,1650240000000,75.401,76.064,75.219,75.977,3344054.6776
1,1650243600000,75.977,76.355,75.927,76.152,2017364.7683
2,1650247200000,76.152,76.317,76.0,76.236,1211979.1792
3,1650250800000,76.236,76.409,75.752,75.829,1251175.0026
4,1650254400000,75.829,75.983,72.002,72.261,16112253.4575
5,1650258000000,72.261,72.999,71.711,72.684,6067971.2883
6,1650261600000,72.684,73.478,72.441,73.292,3468069.2613
7,1650265200000,73.284,73.521,72.6,72.798,3278881.7258
8,1650268800000,72.798,73.391,72.601,72.705,3702136.7528
9,1650272400000,72.705,73.26,72.323,73.253,3107915.9443
10,1650276000000,73.253,73.666,72.795,72.859,3298307.864
11,1650279600000,72.859,73.415,72.859,73.095,1673258.3166
12,1650283200000,73.095,74.553,73.081,74.381,6349907.9797
13,1650286800000,74.381,74.863,74.092,74.529,5517907.3974
14,1650290400000,74.529,74.948,74.481,74.912,3363573.8134
15,1650294000000,74.912,74.995,74.22,74.515,3204206.3641
16,1650297600000,74.515,75.2,73.607,75.081,5365748.2154
17,1650301200000,75.098,76.435,75.055,76.277,10859649.1377
18,1650304800000,76.277,77.029,76.183,76.614,6251716.8449
19,1650308400000,76.614,76.758,75.87,76.345,3110529.25
20,1650312000000,76.345,77.047,76.3,76.935,3583754.1347
21,1650315600000,76.935,77.973,76.922,77.517,4578658.0656
22,1650319200000,77.517,77.863,77.201,77.714,3464069.3661
23,1650322800000,77.714,77.89,77.377,77.739,3380942.8167
24,1650326400000,77.739,78.463,77.718,78.199,5834335.2512
25,1650330000000,78.199,78.316,77.423,77.467,3098330.4614
26,1650333600000,77.467,77.63,77.0,77.096,4360116.4967
27,1650337200000,77.096,77.411,76.782,76.901,2666763.5464
28,1650340800000,76.901,77.516,76.803,77.516,3210057.2403
29,1650344400000,77.516,77.561,77.066,77.258,1225057.0175
30,1650348000000,77.258,77.823,77.249,77.509,2486642.2727
31,1650351600000,77.509,77.87,77.305,77.472,1727432.7991
32,1650355200000,77.472,78.09,77.409,77.792,2793939.5274
33,1650358800000,77.792,77.964,77.199,77.554,3072499.365
34,1650362400000,77.555,78.381,77.533,78.206,3146480.3345
35,1650366000000,78.206,78.896,78.117,78.156,3744512.2816
36,1650369600000,78.156,78.856,78.06,78.58,3524714.5706
37,1650373200000,78.58,79.733,78.087,79.722,8009396.0532
38,1650376800000,79.722,80.292,79.546,80.068,9461313.766
39,1650380400000,80.068,81.103,79.871,80.2,10101835.7377
40,1650384000000,80.2,80.469,79.355,79.497,6541879.5073
41,1650387600000,79.497,79.497,78.768,79.219,4019373.778
42,1650391200000,79.219,79.779,79.188,79.311,2892188.5681
43,1650394800000,79.311,79.8,79.307,79.631,2845380.8264
44,1650398400000,79.631,79.634,78.925,79.564,4465333.0864
45,1650402000000,79.564,79.861,79.4,79.512,2539177.8887
46,1650405600000,79.512,79.821,79.256,79.624,2208118.7349
47,1650409200000,79.624,80.384,79.574,80.289,3051191.1717
48,1650412800000,80.285,80.425,78.883,79.118,3214763.2962
49,1650416400000,79.118,79.571,78.881,79.444,1600400.0106
50,1650420000000,79.444,79.548,79.107,79.526,2148060.9744
51,1650423600000,79.526,79.853,79.362,79.705,1246343.3013
52,1650427200000,79.705,79.93,79.201,79.533,2562049.2396
53,1650430800000,79.529,79.64,79.032,79.447,3364499.5055
54,1650434400000,79.447,79.485,78.912,79.482,5232055.6561
55,1650438000000,79.477,79.706,78.357,79.109,5929053.4917
56,1650441600000,79.109,79.326,78.934,79.16,1615509.4512
57,1650445200000,79.16,80.015,79.125,79.848,5531416.6599
58,1650448800000,79.848,80.845,79.599,80.758,7500677.3972
59,1650452400000,80.758,81.106,80.2,81.106,6461094.0977
60,1650456000000,81.106,81.337,80.276,80.474,4947805.5346
61,1650459600000,80.474,80.5,78.921,79.361,9165539.1688
