,time,open,high,low,close,volume
0,1651017600000,3.33605,3.36145,3.2347,3.2729,11261061.52815
1,1651021200000,3.2729,3.2995,3.2451,3.29335,6734971.6387
2,1651024800000,3.2933,3.3325,3.28515,3.3158,7656734.5667
3,1651028400000,3.3158,3.3502,3.283,3.33345,5701555.4133
4,1651032000000,3.33345,3.3841,3.325,3.3463,7533501.75945
5,1651035600000,3.3463,3.3661,3.33225,3.3555,4848689.3626
6,1651039200000,3.3555,3.38865,3.3413,3.37765,7418225.8644
7,1651042800000,3.37765,3.38065,3.34,3.3654,7923039.7769
8,1651046400000,3.36615,3.4057,3.34,3.35875,9997918.666
9,1651050000000,3.3588,3.37455,3.2921,3.34035,5855551.32605
10,1651053600000,3.34035,3.3558,3.32775,3.3556,4665730.78085
11,1651057200000,3.3556,3.3592,3.29,3.3252,7088191.70925
12,1651060800000,3.3252,3.34285,3.2807,3.29735,5666347.4278
13,1651064400000,3.29735,3.35795,3.2782,3.3466,7101443.43245
14,1651068000000,3.3466,3.35435,3.26,3.29765,7194455.67915
15,1651071600000,3.29765,3.3245,3.29015,3.31935,4907673.0651
16,1651075200000,3.31935,3.79755,3.3132,3.77665,145437725.96735
17,1651078800000,3.7766,3.92655,3.73,3.86015,134779095.33155
18,1651082400000,3.86015,3.9282,3.7815,3.88245,58821083.564
19,1651086000000,3.88245,3.95915,3.8388,3.89895,36956347.3765
20,1651089600000,3.89895,3.9255,3.75,3.79635,68941132.0536
21,1651093200000,3.7963,3.83095,3.78215,3.80155,20445560.51595
22,1651096800000,3.80155,3.8051,3.69965,3.747,25357677.452
23,1651100400000,3.747,3.833,3.74235,3.80935,17807841.13455
24,1651104000000,3.81005,3.87295,3.77875,3.86005,29645419.7658
25,1651107600000,3.86005,3.8741,3.78,3.7839,17777652.20505
26,1651111200000,3.78385,3.8465,3.764,3.8339,11037633.25885
27,1651114800000,3.8339,4.18,3.82315,3.8818,82694131.2202
28,1651118400000,3.88175,3.9028,3.8192,3.85705,43592520.4151
29,1651122000000,3.85705,3.96545,3.835,3.95805,34389239.14915
30,1651125600000,3.95805,4.0794,3.9126,4.01335,30021513.0362
31,1651129200000,4.0131,4.0532,3.97435,4.0059,18783203.29405
32,1651132800000,4.0059,4.0163,3.925,3.9403,27079624.5406
33,1651136400000,3.9403,4.0729,3.9316,4.0702,17613844.34705
34,1651140000000,4.0702,4.08,3.99165,4.03565,15006951.05515
35,1651143600000,4.03565,4.1045,4.00775,4.05335,17675430.88945
36,1651147200000,4.05335,4.06335,3.975,4.02605,17646487.2303
37,1651150800000,4.02605,4.15,3.94,4.0198,43954929.9374
38,1651154400000,4.0194,4.04975,3.953,3.98545,26127719.9204
39,1651158000000,3.98565,4.07005,3.8445,3.98,42442612.45575
40,1651161600000,3.98005,4.005,3.74865,3.8051,53869188.7077
41,1651165200000,3.8051,3.8376,3.722,3.80115,35244266.4913
42,1651168800000,3.80115,3.8524,3.782,3.8384,19775200.1937
43,1651172400000,3.8384,3.8812,3.6032,3.6716,61311669.0945
44,1651176000000,3.6716,3.75,3.5648,3.6803,54675946.68005
45,1651179600000,3.6803,3.7205,3.61,3.70045,19638291.17235
46,1651183200000,3.70045,3.72005,3.66785,3.7001,3808326.32555
