,time,open,high,low,close,volume
0,1648252800000,9.513,9.6865,9.4175,9.459,5242567.924
1,1648256400000,9.459,9.633,9.4335,9.47,3189952.1761
2,1648260000000,9.47,9.878,9.4255,9.7725,6366529.2731
3,1648263600000,9.7725,10.17,9.73,10.105,10467110.18945
4,1648267200000,10.105,10.2375,9.98,10.0045,8198408.35025
5,1648270800000,10.0045,10.1,9.891,9.93,4940182.4552
6,1648274400000,9.93,10.15,9.9125,10.058,3489732.23325
7,1648278000000,10.058,10.1,9.9765,10.0145,2770099.38055
8,1648281600000,10.0145,10.3175,9.996,10.2565,5924070.79825
9,1648285200000,10.254,10.2895,10.094,10.1235,5319089.9653
10,1648288800000,10.1235,10.27,10.1005,10.166,3084502.6824
11,1648292400000,10.164,10.1705,9.9085,10.003,7662330.3473
12,1648296000000,10.003,10.053,9.892,10.0015,5583134.16325
13,1648299600000,10.0015,10.064,9.908,9.974,3548844.1326
14,1648303200000,9.974,10.033,9.8755,9.956,3311501.10545
15,1648306800000,9.956,10.209,9.921,10.105,6184467.71295
16,1648310400000,10.105,10.134,9.982,9.9945,4051217.5704
17,1648314000000,9.9945,10.075,9.974,10.0375,2029261.394
18,1648317600000,10.0375,10.1795,10.029,10.083,3623095.02635
19,1648321200000,10.083,10.2055,10.049,10.1005,5093643.9259
20,1648324800000,10.1005,10.68,10.086,10.516,10823892.51235
21,1648328400000,10.516,10.6605,10.4375,10.5855,4933044.4244
22,1648332000000,10.5855,10.6045,10.444,10.4755,3069844.7941
23,1648335600000,10.475,10.652,10.418,10.6385,3225304.94285
24,1648339200000,10.6385,10.9625,10.3525,10.388,10990283.21575
25,1648342800000,10.39,10.515,10.269,10.451,7561762.00415
26,1648346400000,10.451,10.5125,10.3215,10.4805,4465705.4134
27,1648350000000,10.4805,10.486,10.2835,10.3355,2546014.9254
28,1648353600000,10.3355,10.3855,10.2125,10.2965,4157170.3081
29,1648357200000,10.2965,10.492,10.2955,10.4705,2316034.8183
30,1648360800000,10.4705,10.5115,10.414,10.508,1731025.2792
31,1648364400000,10.508,10.652,10.503,10.5195,2829912.7741
32,1648368000000,10.5195,10.6375,10.469,10.4905,1428852.07965
33,1648371600000,10.4905,10.571,10.432,10.4375,1635413.69945
34,1648375200000,10.4375,10.5675,10.428,10.5365,1555913.81135
35,1648378800000,10.5365,10.612,10.473,10.478,2744930.79275
36,1648382400000,10.478,10.61,10.3205,10.3255,3496305.0224
37,1648386000000,10.3255,10.63,10.273,10.499,4986147.7008
38,1648389600000,10.499,10.546,10.3445,10.37,2884074.4549
39,1648393200000,10.37,10.452,10.328,10.359,2692851.22105
40,1648396800000,10.359,10.4,10.3,10.328,3253550.4943
41,1648400400000,10.328,10.3585,10.21,10.3075,2834605.03185
42,1648404000000,10.3075,10.321,10.198,10.208,1594143.7442
43,1648407600000,10.208,10.2615,10.151,10.1665,2385707.9674
44,1648411200000,10.1665,10.3675,10.06,10.3515,7963985.2658
45,1648414800000,10.3505,10.47,10.2555,10.4195,6358392.3881
46,1648418400000,10.4195,10.455,10.2785,10.328,5626597.6462
47,1648422000000,10.328,10.461,10.3115,10.404,4015039.5131
48,1648425600000,10.404,10.484,10.279,10.357,3669970.11705
49,1648429200000,10.357,10.408,10.3075,10.3615,1576815.08785
50,1648432800000,10.3615,10.5435,10.3615,10.473,1934515.7247
51,1648436400000,10.473,10.915,10.47,10.822,9314676.4712
52,1648440000000,10.8215,10.995,10.749,10.863,9349130.4501
53,1648443600000,10.863,10.92,10.74,10.7565,3950910.2069
54,1648447200000,10.7565,10.783,10.5715,10.601,3330800.0293
55,1648450800000,10.5965,10.6785,10.578,10.613,2168585.0382
56,1648454400000,10.613,10.6695,10.4255,10.543,5712763.7454
57,1648458000000,10.543,10.574,10.38,10.5505,4102200.9678
58,1648461600000,10.5505,10.5775,10.462,10.553,4435197.0683
59,1648465200000,10.553,10.6655,10.546,10.5755,2596642.92705
60,1648468800000,10.5755,10.64,10.4595,10.581,2333949.5183
61,1648472400000,10.581,10.654,10.526,10.645,3918096.9961
62,1648476000000,10.644,10.655,10.48,10.5305,4960875.19255
63,1648479600000,10.5305,10.609,10.3165,10.318,5255460.3256
64,1648483200000,10.318,10.475,10.151,10.3805,8216278.8257
65,1648486800000,10.3805,10.4895,10.348,10.462,2380875.57195
66,1648490400000,10.462,10.6315,10.439,10.5695,4905850.2191
67,1648494000000,10.5695,10.628,10.419,10.48,3632972.21045
68,1648497600000,10.48,10.556,10.3805,10.552,3447816.4604
69,1648501200000,10.552,10.609,10.307,10.502,4011665.76795
70,1648504800000,10.5035,10.5545,10.3875,10.391,4068115.12895
71,1648508400000,10.391,10.452,9.946,10.053,8660803.22505
72,1648512000000,10.053,10.3845,10.0245,10.247,4742537.5789
73,1648515600000,10.247,10.623,10.22,10.535,6685811.6415
74,1648519200000,10.535,10.5765,10.307,10.3395,6076558.39525
75,1648522800000,10.3395,10.447,10.3295,10.3605,1803155.03795
76,1648526400000,10.3605,10.916,10.2835,10.892,7394106.2064
77,1648530000000,10.892,11.5285,10.7255,11.462,21009987.92835
78,1648533600000,11.457,11.8385,11.363,11.7795,16073787.4704
79,1648537200000,11.7795,11.894,11.659,11.809,10320390.06015
80,1648540800000,11.809,12.135,11.763,12.077,11301472.93275
