,time,open,high,low,close,volume
0,1648252800000,0.04788,0.04838,0.04781,0.04785,43265.8423
1,1648256400000,0.04785,0.04846,0.04767,0.04825,101430.3062
2,1648260000000,0.04825,0.0486,0.0481,0.04831,105390.7829
3,1648263600000,0.04831,0.05117,0.04817,0.04909,1846552.8811
4,1648267200000,0.04909,0.05039,0.04885,0.04995,447516.9227
5,1648270800000,0.04995,0.05141,0.04993,0.0511,703559.3989
6,1648274400000,0.0511,0.05146,0.0504,0.05086,524294.3066
7,1648278000000,0.05086,0.05153,0.0505,0.05145,304006.2313
8,1648281600000,0.05145,0.05483,0.05145,0.05416,4079309.0866
9,1648285200000,0.05416,0.05459,0.05337,0.0538,1405250.8351
10,1648288800000,0.0538,0.05392,0.0532,0.05376,1312477.2486
11,1648292400000,0.05376,0.0544,0.05339,0.05422,804248.6694
12,1648296000000,0.05422,0.05739,0.05387,0.05683,4895903.2793
13,1648299600000,0.05683,0.05802,0.05657,0.05689,4027443.1679
14,1648303200000,0.05689,0.05888,0.05672,0.05816,2846871.7174
15,1648306800000,0.05816,0.05865,0.0577,0.05834,2503932.4117
16,1648310400000,0.05834,0.05958,0.05748,0.05856,3163148.7489
17,1648314000000,0.05856,0.06534,0.05821,0.06413,8232834.8886
18,1648317600000,0.06413,0.06743,0.06307,0.06511,9777622.2183
19,1648321200000,0.06511,0.06668,0.06427,0.06607,8279807.2758
20,1648324800000,0.06607,0.0831,0.06565,0.08116,23880038.7922
21,1648328400000,0.08115,0.08116,0.0754,0.07587,15323744.9948
22,1648332000000,0.07587,0.08063,0.07531,0.07886,10163432.377
23,1648335600000,0.07874,0.09229,0.07872,0.09002,28919289.3893
24,1648339200000,0.0901,0.09547,0.0877,0.08837,37148483.8131
25,1648342800000,0.08837,0.08918,0.08514,0.08609,23852466.0845
26,1648346400000,0.08609,0.08959,0.08445,0.08719,14861513.8895
27,1648350000000,0.08719,0.0905,0.0854,0.0882,13416076.7687
28,1648353600000,0.08819,0.0895,0.08627,0.08851,18708526.0907
29,1648357200000,0.08851,0.08955,0.08568,0.0861,8884266.6628
30,1648360800000,0.08607,0.08869,0.08587,0.08772,7485919.4835
31,1648364400000,0.08772,0.08939,0.0868,0.08818,11016091.3283
32,1648368000000,0.08818,0.0885,0.08641,0.08825,15768963.3387
33,1648371600000,0.08825,0.08973,0.08725,0.0895,9498014.6508
34,1648375200000,0.08954,0.0943,0.08929,0.09009,16159779.1733
35,1648378800000,0.09009,0.09863,0.08965,0.09604,18264498.6038
36,1648382400000,0.09604,0.1006,0.09542,0.09833,20470039.4537
37,1648386000000,0.09833,0.11574,0.09788,0.10918,48240340.6659
38,1648389600000,0.10918,0.11841,0.1086,0.114,31922905.0142
39,1648393200000,0.11399,0.11465,0.10812,0.11139,28373400.5846
40,1648396800000,0.11132,0.11148,0.1064,0.1097,32012656.0771
41,1648400400000,0.1097,0.11646,0.10913,0.11124,29151066.2062
42,1648404000000,0.11124,0.11292,0.10886,0.11175,15463787.9189
43,1648407600000,0.11175,0.11175,0.10816,0.10937,11564031.9024
44,1648411200000,0.10937,0.11316,0.1074,0.10775,13624669.6204
45,1648414800000,0.10783,0.10788,0.10197,0.10356,17639659.9231
46,1648418400000,0.10356,0.10514,0.10198,0.10308,10354955.9255
47,1648422000000,0.10308,0.10628,0.10244,0.1058,9868024.7654
48,1648425600000,0.1058,0.10694,0.10099,0.10209,16990145.0883
49,1648429200000,0.10209,0.1064,0.10101,0.10501,12552749.4122
50,1648432800000,0.10501,0.10795,0.1044,0.10502,8234008.195
51,1648436400000,0.10502,0.10982,0.10488,0.10743,8692935.6825
52,1648440000000,0.10746,0.10814,0.10482,0.10629,6456916.6084
53,1648443600000,0.10629,0.10689,0.10252,0.10295,6124042.1867
54,1648447200000,0.10295,0.10518,0.10189,0.10511,6385185.0034
55,1648450800000,0.10511,0.10683,0.10357,0.10414,5576020.4244
56,1648454400000,0.10414,0.10463,0.10221,0.10411,7245754.1931
57,1648458000000,0.10411,0.12065,0.10402,0.11767,31147081.6506
58,1648461600000,0.11767,0.11809,0.11117,0.11188,21703453.9694
